price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
8500000,р-н Митино,Пятницкое шоссе,8,пешком,30,10,1,14,1994,None,Панельный,Железобетонные
6300000,Рождествено село,Волоколамская,30,транспорт,43,7,4,7,2015,Косметический,Монолитный,Железобетонные
10490000,мкр. Павшинская пойма,Мякинино,12,пешком,40,15,16,17,1997,Дизайнерский,Монолитный,Железобетонные
10200000,р-н Кунцево,Павшино,30,транспорт,35,17,10,25,2021,None,None,None
7500000,мкр. Опалиха,Волоколамская,7,транспорт,39,9,10,12,1997,Евроремонт,Монолитный,Железобетонные
6950000,Нахабино рп,Нахабино,7,транспорт,41,10,13,14,1997,Евроремонт,Монолитный,Железобетонные
5900000,Аристово деревня,Пятницкое шоссе,8,транспорт,33,15,2,6,2022,Без ремонта,None,None
10500000,р-н Митино,Митино,4,пешком,38,8,3,17,1991,Евроремонт,Панельный,Железобетонные
10300000,р-н Митино,Митино,9,пешком,42,10,20,24,2015,None,Монолитный,None
9100000,Путилково деревня,Митино,40,пешком,56,11,2,11,2008,Дизайнерский,Монолитный,Железобетонные
9500000,мкр. Павшинская пойма,Мякинино,9,пешком,38,10,27,30,2020,None,None,None
9500000,р-н Митино,Митино,19,пешком,37,8,1,17,1996,Косметический,Панельный,Железобетонные
8000000,Путилково деревня,Митино,7,транспорт,38,14,7,25,1997,Евроремонт,None,None
7700000,Опалиха микрорайон,Аникеевка,2,пешком,31,9,2,4,1997,None,None,None
6600000,мкр. Сходня,Сходненская,15,транспорт,30,14,5,8,1997,Косметический,Монолитный,Железобетонные
6000000,Аристово деревня,Пятницкое шоссе,8,транспорт,32,15,4,6,2022,None,None,None
6150000,Рождествено село,Пятницкое шоссе,29,транспорт,50,18,4,9,1997,None,None,None
11200000,мкр. Павшинская пойма,Мякинино,15,пешком,44,9,8,28,2016,None,None,None
10500000,мкр. Павшинская пойма,Волоколамская,12,пешком,44,8,23,28,2016,Без ремонта,Монолитный,Железобетонные
7700000,р-н Митино,Митино,7,пешком,29,5,22,25,2017,Дизайнерский,Монолитный,None
12650000,мкр. Павшинская пойма,Пенягино,15,пешком,38,14,11,23,2015,Евроремонт,Панельный,Железобетонные
10900000,р-н Северное Тушино,Планерная,15,пешком,36,10,12,17,2004,Косметический,Панельный,Железобетонные
7300000,мкр. Райцентр,Красногорская,10,пешком,37,10,2,9,1970,Косметический,Кирпичный,Железобетонные
13700000,р-н Митино,Пятницкое шоссе,17,пешком,41,12,16,24,2019,None,Монолитный,Железобетонные
13200000,р-н Митино,Митино,6,пешком,41,10,3,15,1997,None,Панельный,Железобетонные
11300000,р-н Митино,Волоколамская,10,пешком,39,8,14,14,1997,None,None,None
11000000,мкр. Павшино,Мякинино,11,транспорт,52,15,10,15,1997,Евроремонт,Кирпичный,Железобетонные
9000000,р-н Митино,Митино,7,пешком,29,7,18,24,2015,None,None,None
8300000,Нахабино рп,Нахабино,5,пешком,52,13,3,17,2012,Евроремонт,None,Железобетонные
7500000,Путилково деревня,Митино,15,транспорт,34,11,4,20,1997,None,None,None
6800000,Нахабино рп,Нахабино,20,пешком,35,10,2,8,1997,Евроремонт,None,None
6550000,Сабурово деревня,Пятницкое шоссе,35,транспорт,36,9,1,4,1997,Евроремонт,Монолитный,Железобетонные
6200000,Сабурово деревня,Пятницкое шоссе,15,транспорт,32,8,3,4,1997,Евроремонт,Монолитный,Железобетонные
6200000,Сабурово деревня,Пятницкое шоссе,15,транспорт,30,10,1,8,1997,Евроремонт,Монолитный,Железобетонные
12000000,мкр. Павшинская пойма,Мякинино,20,пешком,41,11,9,25,2014,Дизайнерский,Монолитный,Железобетонные
10300000,р-н Южное Тушино,Трикотажная,10,пешком,38,8,15,17,1991,Евроремонт,Панельный,None
10850000,р-н Строгино,Строгино,15,пешком,39,9,1,12,1997,None,None,None
9500000,Отрадное поселок,Митино,10,транспорт,35,11,7,8,1997,Косметический,None,None
8690000,мкр. Павшино,Павшино,11,пешком,32,6,5,25,2016,Евроремонт,Монолитный,Железобетонные
8650000,мкр. Павшино,Павшино,14,пешком,32,9,35,44,2014,Евроремонт,Монолитный,Железобетонные
10490000,мкр. Павшинская пойма,Мякинино,13,пешком,44,8,7,16,2005,Евроремонт,Панельный,Железобетонные
9950000,мкр. Павшино,Павшино,7,пешком,40,20,10,21,2010,Евроремонт,Монолитный,Железобетонные
9600000,Раздоры деревня,Строгино,5,транспорт,42,13,13,33,1997,None,Монолитный,None
9000000,Отрадное поселок,Пятницкое шоссе,10,транспорт,45,24,6,9,2022,Без ремонта,Монолитный,None
9500000,мкр. Павшинская пойма,Волоколамская,15,пешком,38,10,15,29,1997,Без ремонта,Кирпичный,None
7500000,р-н Митино,Митино,9,пешком,30,6,17,24,2015,Евроремонт,Монолитный,None
10750000,р-н Митино,Волоколамская,9,пешком,40,10,10,22,1998,Дизайнерский,Панельный,Железобетонные
11500000,мкр. Павшинская пойма,Мякинино,15,пешком,44,13,16,25,2014,Дизайнерский,Монолитный,Железобетонные
8990000,р-н Митино,Волоколамская,7,пешком,35,10,10,16,1998,Косметический,Панельный,Железобетонные
10300000,р-н Митино,Пятницкое шоссе,2,пешком,39,8,5,14,1992,Косметический,Панельный,Железобетонные
10900000,р-н Южное Тушино,Сходненская,10,транспорт,40,10,3,16,2022,None,None,None
10900000,р-н Митино,Волоколамская,12,пешком,46,10,12,18,2003,Косметический,Монолитный,Железобетонные
15600000,Отрадное поселок,Пятницкое шоссе,5,транспорт,49,21,9,9,2020,None,None,None
10500000,мкр. Павшинская пойма,Митино,27,пешком,41,8,16,23,2013,Дизайнерский,Монолитный,Железобетонные
12650000,мкр. Павшинская пойма,Пенягино,15,пешком,35,13,11,23,2015,Евроремонт,Панельный,Железобетонные
6000000,Дедовск,Тушинская,35,транспорт,31,5,5,5,1997,Евроремонт,Кирпичный,Железобетонные
4650000,Дедовск,Волоколамская,25,транспорт,30,6,1,5,1973,None,None,None
8200000,Раздоры деревня,Строгино,15,пешком,32,5,12,34,2020,None,None,None
7700000,Раздоры деревня,Строгино,25,пешком,30,14,10,34,1997,None,None,None
6400000,Сабурово деревня,Пятницкое шоссе,13,транспорт,33,9,8,8,2017,Евроремонт,None,Железобетонные
6900000,Красный Поселок деревня,Пятницкое шоссе,35,транспорт,36,10,3,3,2016,Евроремонт,Монолитно кирпичный,None
10500000,мкр. Павшинская пойма,Пенягино,6,пешком,40,9,7,23,2010,Дизайнерский,Панельный,Железобетонные
12500000,р-н Южное Тушино,Трикотажная,3,транспорт,40,10,9,16,1997,Евроремонт,None,None
7250000,Голубое деревня,Волоколамская,25,транспорт,49,12,2,17,1997,Дизайнерский,Панельный,Железобетонные
8299000,Нахабино рп,Нахабино,25,пешком,50,15,5,6,2018,Дизайнерский,Монолитный,Железобетонные
