price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
13800000,39,35,11,1,38,9,8,12,1985,4,5,2
14400000,39,35,5,1,37,9,5,22,2009,3,3,2
13490000,39,41,6,1,37,8,4,17,1984,2,1,1
16500000,39,35,11,1,42,9,16,25,2007,2,1,1
12100000,41,40,13,1,29,4,7,8,1958,2,1,1
6999999,40,36,2,1,18,9,4,10,1997,2,1,1
11700000,42,38,5,1,39,9,6,16,1978,2,1,1
10990000,41,37,16,1,30,6,6,9,1967,2,1,1
12500000,39,39,15,1,40,10,13,22,2000,2,1,1
18500000,39,35,1,1,43,11,12,24,2008,4,1,2
14700000,41,37,16,1,39,8,17,17,2006,2,1,1
15300000,39,35,14,1,41,12,10,14,2021,3,2,1
12200000,41,37,16,1,30,6,4,9,1967,5,2,2
11990000,39,41,8,1,39,9,3,12,1985,3,4,2
13999000,40,36,11,1,32,6,4,5,1962,2,1,1
10800000,41,37,14,1,29,9,1,9,1965,5,2,2
10300000,40,36,13,1,34,5,9,9,1963,2,1,1
14900000,41,40,11,1,36,10,7,16,1974,3,5,2
18300000,39,37,7,1,45,9,16,19,2021,5,5,2
12800000,39,35,1,1,38,10,14,18,1972,5,1,2
7470000,41,35,8,1,16,9,2,8,1960,1,2,2
11300000,39,35,20,1,38,8,2,11,2007,3,3,2
10900000,41,35,9,1,32,5,6,9,1964,3,5,2
7248000,40,36,5,1,30,9,2,10,1997,5,4,1
14990000,39,35,16,1,39,9,8,22,2001,3,4,2
14500000,39,39,15,1,39,10,18,22,2004,3,3,2
13500000,39,41,8,1,44,8,5,12,1984,3,4,2
13200000,39,35,20,1,38,8,2,11,2007,3,3,2
12500000,39,41,12,1,40,9,3,12,1984,3,5,2
8500000,40,36,4,1,22,2,10,10,1997,4,1,1
13200000,39,35,20,1,38,10,5,22,2005,3,3,2
15837973,40,36,5,1,32,9,2,10,1997,5,1,1
11250000,41,37,17,1,30,6,8,9,1966,3,2,2
5445000,40,36,4,1,16,9,4,10,1997,4,1,1
12699999,44,42,5,1,34,9,8,16,1973,3,4,2
13950000,44,43,7,1,25,9,2,5,1930,2,1,1
